session,orientation,true,correct_frac,majority,n_windows
dws,natural,dws,1.0,dws,4
ups,natural,ups,1.0,ups,5
hod,natural,wlk,0.0,ups,9
hod2,natural,wlk,1.0,wlk,3
hodanje,natural,wlk,0.6153846153846154,wlk,13
hodanje2,natural,wlk,0.0,ups,13
hodanje3,natural,wlk,0.6285714285714286,wlk,35
jog,natural,jog,1.0,jog,7
ED,screen-toward-thigh + upside-down,wlk,1.0,wlk,33
EG,screen-toward-thigh + upright,wlk,0.7906976744186046,wlk,43
KD,camera-toward-thigh + upside-down,wlk,0.8055555555555556,wlk,36
KG,camera-toward-thigh + upright,wlk,0.8461538461538461,wlk,39
